Common Phrases,CommonPhrases.json,
الجاي,el-jaay,The next / upcoming
ما بعرف,maa ba'aref,I don't know
يمكن,yimkin,Maybe
شو رأيك,shoo ra'ayak,What's your opinion?
شو هاكيت,shoo hakayt,What did you say?
ليش هيك,leesh heik,Why is it like that?
بأفكر,baafakker,I'm thinking / considering
شو بتحين,shoo bethyeen,What do you want?
خليني,khaleeni,Let me ...
ليش عملت هيك,leesh amalt heik,Why did you do it like that
عشاني,ashaani,For me / because of me
لا تحتم,laa thahtam,Don't care
كل هواء,kol hawa,"Eat air (slang for ""get lost"")"
ولا أشي,wala ishi,Nothing
أيش في,aish fee,What's in it? / what's going on?
تعال معي,ta'aal ma'ai,Come with me
روح من هون,rooh min hoon,Go from here
تحكيش معي,taHkeesh ma'ai,Don't talk to me
من فضلك,min faḍlak,Please
أريد,ureed,I want
لا أفهم,la afham,I don't understand
كيف صحتك,keef ṣiHtak,How's your health?
,,
Personal Pronouns,PersonalPronouns.json,
أنا,ana,I
إنتَ,inta,You (M)
إنتِ,inti,You (F)
هو,huwa,He
هي,hiya,She
إحنا,iHna,We
إنتو,intu,You (PL)
هم,humma,They
,,
Quantifiers,Quantifiers.json,
واحد,waHad,One
التنين,itneen,Both
كل,kull,All
بعض,ba3D,Some
أي,ayy,Any
أغلب,aghlab,Most
شوي,shway,Few
عدة,3idda,Several
كتير,kteer,Many
,,
Indefinite Pronouns,IndefinitePronouns.json,
كل شي,kull shi,Everything
ولا شي,wala shi,Nothing
شي,shi,Something
اي شي,ayya shi,Anything
كل حدا,kull waHad,Everyone
واحد,waHd,Someone (M)
وحدة,wHda,Someone (F)
حدا,Hada,Someone
أي حدا,ayy Hada,Anyone
ما حدا,wala Hada,No one
آخر,aakhr,Another
,,
Demonstrative Pronouns,DemonstrativePronouns.json,
هاد,had,This (M)
هاي,haay,This (F)
هداك,hadaak,That (M)
هديك,hadiik,That (F)
هدول,hadool,These
هدولاك,hadoolak,Those
,,
Question Words,QuestionWords.json,
مين,meen,Who
شو,shu,What
متى,mta,When
وين,ween,Where
ليش,leesh,Why
كيف,keef,How
أي,ayy,Which
لمين,lmeen,Whose
كم,kam,How much
كم,kam,How many
اديش طول,addeesh Tool,How long
كل اديش,kull addeesh,How often
اديش بعيد,addeesh ba3eed,How far
,,
Greetings,Greetings.json,
مرحبا,marHaba,Hello
كيف حالك,keef Haalak? / keef Haalik?,How are you?
مع السلامة,ma3 al-salaama,Goodbye (remaining person)
خاطرك,khaTrak,Goodbye (leaving person)
صباح الخير,SabaH el-kheer,Good morning
صباح النور,SabaH el-noor,Good morning (reply)
مساء الخير,masaa' el-kheer,Good evening
مساء النور,masaa' el-noor,Good evening (reply)
تصبح على خير,tiSbaH 3ala kheer,Good night
أهلا وسهلا,ahlan wa sahlan,Welcome
,,
Polite Expressions,PoliteExpressions.json,
لو سمحت,law samaHt,Please
آسف,aasif / aasfa,Sorry
شكرا,shukran,Thank you
عفوا,3afwan,You're welcome
عفوا,3afwan,Excuse me
تشرفنا,tasharrafna,Nice to meet you
,,
Well-Wishes,WellWishes.json,
مبروك,mabrook,Congratulations
عيد ميلاد سعيد,3eed milaad sa3eed,Happy birthday
يرحمك الله,yarHamuk Allah,Bless you (sneeze)
سلامتك,salaamtak,Get well soon
الله يسلمك,Allah yasalmak,May God keep you safe
صحنيت,SaHteen,Bon appétit
نعيما,na3eeman,After someone showers/haircut
,,
Conjunctions,Conjunctions.json,
شوي شوي,shway shway,Slowly
قوام,qawaam,Quickly
كتير,katir,Very
عالاخر,`ala l-aakhir,Totally
بس,bass,Only
كمان,kamaan,Also
يمكن,yumkin,Maybe
عشان هيك,`ashaan heek,Therefore
,,
Prepositions of Place,PrepositionsOfPlace.json,
في,fi,In (place)
على,`ala,On/to/about
ب,bi,With/by (object)
قدام,qiddam,In front of
ورا,waraa,Behind
فوق,fawq,Above/over
تحت,taht,Below/under
بين,bayn,Between/among
عند,`ind,At
داخل,dakhil,Inside
خارج,kharij,Outside
عبر,`abr,Through
حول,hawl,Around
إلى,ila,To (destination)
نحو,nahw,Towards
ضد,didd,Against
هون,hawn,Here
هناك,hunak,There
,,
Prepositions of Time,PrepositionsOfTime.json,
من,min,From (place/time/person)
حتى,hatta,Till/until/to (purpose/end goal)
مذ,mudh,Since
قبل,qabl,Before
بعد,ba`d,After
خلال,khilal,During
اليوم,al-yawm,Today
بكرة,bukra,Tomorrow
بعد بكرة,ba`d bukra,Day after tomorrow
مبارح‎,mubaariH,Yesterday
قبل مبارح,qabl mubaariH,Day before yesterday
هسا,hassa,Now
بكير,bakir,Early
بعدين,ba`dayn,Afterwards
لسا,lissa,Still/not yet
,,
Prepositions of Relationship,PrepositionsOfRelationship.json,
عن,`an,About (discussion)
ل,li,For/to (possession/reason)
مع,ma`a,With (person)
ك,ka,Like/as (resemblance)
عدا,`ada,Except for
رغم,raghm,Despite
بدون,bidun,Without
هون,hawn,Here
هناك,hunak,There
هيك,heek,Like this
,,
Frequency,Frequency.json,
دايما,daayman,Always
عادة,3aadatan,Usually
كثيرا,kteeran,Frequently
غالبا,ghaliban,Often
أحيانا,aHyaanan,Sometimes
نادرا,naaderan,Seldom
قلما,qallama,Rarely
أبدا,abadan,Never
,,
Cardinal Numbers,CardinalNumbers.json,
صفر,Sifr,Zero
واحد,waaHid,One
اثنين,ithnayn,Two
